text,source
Le COVID-19 a été volé dans un laboratoire canadien par des espions chinois ,strategies journal
"Le COVID-19 contient des ‘insertions de VIH’ qui suggèrent que le virus a été créé artificiellement(même si cette thèse est défendue par Luc Montagnier, Prix Nobel de Médecine)",strategies journal
La pandémie de COVID-19 a été prédite lors d’une simulation,strategies journal
Un groupe financé par Bill Gates a breveté le virus causant le COVID-19,strategies journal
Le virus causant le COVID-19 est une arme biologique créée par l’Homme,strategies journal
La technologie cellulaire 5G est liée à la pandemie de coronavirus,strategies journal
L’argent colloïdal peut guérir le COVID-19,strategies journal
La Solution Minérale Miracle peut guérir le COVID-19,strategies journal
L’ail peut guérir le COVID-19,strategies journal
Il est prouvé que de fortes doses de Vitamine C constituent un traitement efficace contre le COVID-19,strategies journal
La 5G propage le virus,RTL journal
Le soleil et la chaleur protègent du coronavirus,RTL journal
Ne pas respirer pendant 10 secondes permet de savoir si on est infecté,RTL journal
Boire de l’alcool empêche de tomber malade,RTL journal
Les moustiques transmettent le coronavirus,RTL journal
Le virus a été créé en laboratoire, puis breveté ,rtbf.be
Les chauves-souris sont à l’origine de la propagation du virus ,rtbf.be
Le virus se transmet par les moustiques ,rtbf.be
Le cannibalisme est à l’origine du virus ,rtbf.be
Les colis provenant de Chine sont dangereux ,rtbf.be
Un gel pour lutter contre le coronavirus a été produit bien avant l’épidémie ,rtbf.be
"Boire de l’eau, une soupe à l’ail (voire de l’eau de javel) ou se rincer la gorge avec une solution saline permet d’éviter d’être contaminé ",rtbf.be
Le froid peut tuer le coronavirus ,rtbf.be
Les Africains sont plus résistants face au virus ,rtbf.be
L’urine des enfants désinfecte efficacement et protège du virus , rtbf.be
Les ondes 5G sont responsables de la pandémie de Covid,blog.digimind.com
Le coronavirus contient des insertions de VIH créées par l'homme,blog.digimind.com
La pulvérisation d'alcool ou chlore tue le coronavirus,blog.digimind.com
Le vaccin de Bill Gates contiendra une puce de suivi,blog.digimind.com
De très fortes doses de Vitamine C constituent une protection ou traitement contre la COVID,blog.digimind.com
L’ail peut guérir de la COVID,blog.digimind.com
Passer les objets au micro-onde les désinfecte du virus,blog.digimind.com
La cocaïne est un  traitement contre la COVID,blog.digimind.com
Le virus a été créé artificiellement en laboratoire,blog.digimind.com
L'artemisia : remède contre Covid reconnu par OMS,blog.digimind.com
Boire du thé au fenouil protège contre le virus,blog.digimind.com
L'application StopCovid vous géolocalise,blog.digimind.com
Un bain chaud protège contre le coronavirus,blog.digimind.com
Il est recommandé de se raser la barbe pour éviter la contagion,blog.digimind.com
Le Virus Nipah venu d'Inde est plus dangereux que la Covid,blog.digimind.com
Les Simpson avaient prédit l'arrivée du coronavirus,blog.digimind.com
Le gel hydroalcoolique peut exploser ou prendre feu au soleil,blog.digimind.com
Le virus a été créé par l’Institut Pasteur,blog.digimind.com
Les preuves que l'hydroxychloroquine est efficace pour les malades du Covid existent,blog.digimind.com
L’argent colloïdal guérit de la COVID,blog.digimind.com
Les fumeurs sont moins sensibles au coronavirus,blog.digimind.com
Le virus vient de la soupe de chauve-souris,blog.digimind.com
Le gouvernement autorise l'euthanasie des personnes agées,blog.digimind.com
Un laboratoire financé par Bill Gates a déposé le brevet du coronavirus,blog.digimind.com
Le virus a été créé par les laboratoires pharmaceutiques,blog.digimind.com
La Covid se traite avec de l'aspirine et du jus de citron,blog.digimind.com
La pandémie de Covid a été prédite lors d'une simulation de Bill Gates,blog.digimind.com
La France est le pays le plus touché par la Covid en Europe,blog.digimind.com
Une étude sur le 1er tour des Municipales en France fait état de milliers morts,blog.digimind.com
L'application StopCovid s'installe automatiquement sur votre téléphone,blog.digimind.com
La Solution Minérale Miracle guérit de la COVID,blog.digimind.com
Les hôpitaux sont en fait vides  : La Covid est un mensonge d'État,blog.digimind.com
Le coronavirus a été créé en 2013,blog.digimind.com
L'application StopCovid aspire vos contacts,blog.digimind.com
La tige de métal des masques est une antenne 5G pour vous tracer ou vous inoculer le virus,blog.digimind.com
Le coronavirus est transmis par la nourriture chinoise,blog.digimind.com
boire des boissons chaudes neutralise le coronavirus.,lemonde.fr
seules les personnes présentant des symptômes sont contagieuses,lemonde.fr
le Covid-19 est une combinaison du SRAS et du sida.,lemonde.fr
le SARS-CoV-2 a été créé en 2003 aux Etats-Unis.,lemonde.fr
l’Institut Pasteur a inventé le coronavirus en 2004 comme le prétend une vidéo virale.,lemonde.fr
l’Institut Pasteur a créé le virus SARS-CoV-2 et l’a relâché dans la ville de Wuhan pour provoquer la pandémie et mettre en cause les autorités chinoises,pasteur.fr
le SARS-CoV-2 a été créé en laboratoire à partir du VIH,pasteur.fr
le coronavirus SARS-CoV-2 aurait été créé par l’homme,pasteur.fr
Le vaccin contre le Covid-19 va modifier nos gènes,topsante.com
Le vaccin contre le Covid-19 contient de l'aluminium,topsante.com
Le vaccin contre le Covid-19 a été bâclé,topsante.com
Le vaccin contre le Covid-19 a beaucoup d'effets secondaires graves,topsante.com
Le vaccin contre le Covid-19 a déjà tué des personnes,topsante.com
Le vaccin contre le Covid-19 est contre-indiqué chez les personnes immunodéprimées,topsante.com
Je suis vacciné(e) je peux enlever mon masque,unric.org
Les personnes asymptomatiques ne transmettent pas la COVID-19,unric.org
Un vaccin signifie la fin immédiate de la pandémie,unric.org
Les masques chirurgicaux provoquent des intoxication au CO2,unric.org
La meilleure protection contre le COVID-19 est de porter des gants en latex,unric.org
Respirer la fumée et les gaz des feux d’artifice ou des pétards peut protéger du COVID-19,unric.org
Les scanners thermiques peuvent détecter le virus du COVID-19,unric.org
L’utilisation prolongée de masques chirurgicaux peut provoquer une intoxication au CO2 ou des carences en oxygène,unric.org
Ajouter du piment à vos plats prévient et guérit le virus COVID-19,unric.org
La consommation de méthanol, d’éthanol ou d’eau de Javel peut protéger contre le virus du COVID-19,unric.org
Le froid et la neige peuvent tuer le virus COVID-19,unric.org
Boire de l’alcool protège contre le coronavirus COVID-19,unric.org
S’exposer au soleil ou à des températures supérieures à 25°C empêche de contracter la maladie du COVID-19,unric.org
Retenir sa respiration pendant 10 secondes ou plus sans tousser ni se sentir gêné signifie que l’on est épargné par le COVID-19 ou tout autre maladie pulmonaire,unric.org
Il est dangereux de prendre de l’Ibuprofène,unric.org
Je suis jeune je ne risque rien,unric.org
La maladie du coronavirus COVID-19 est la même que la grippe,unric.org
Le coronavirus COVID-19 peut être transmis par les piqûres de moustiques,unric.org
Prendre un bain chaud protège contre le nouveau coronavirus,unric.org
Les antibiotiques sont efficaces pour prévenir et traiter l’infection par le nouveau coronavirus,unric.org
Les sèche-mains à air chaud sont efficaces pour tuer le COVID 19,unric.org
Je peux me protéger en pulvérisant de l’alcool ou du chlore sur mon corps,unric.org
Se rincer régulièrement le nez avec une solution saline peut-il aider à prévenir l’infection,unric.org
Manger de l’ail peut aider à prévenir l’infection,unric.org
Il faut consommer des boissons chaudes et ne pas manger de glaces,unric.org
Une lampe de stérilisation/désinfection aux ultraviolets peut tuer le coronavirus COVID-19,unric.org
Le fait de mettre de l’huile de sésame empêche le coronavirus COVID-19 de pénétrer dans l’organisme,unric.org
Le vaccin contre la grippe renforcerait la Covid-19,rtl.fr
Les vaccins à ARN induisent une modification du génome,futura-sciences
les musulmans ont déjà un système immunitaire puissant contre le coronavirus,journals openedition
La pneumonie à coronavirus est une toux sèche sans écoulement nasal,journals openedition
Ce nouveau virus n’est pas résistant à la chaleur et sera tué par une température de seulement 26/27 degrés,journals openedition
coronavirus déteste le soleil,journals openedition
Boire de l’eau chaude est efficace pour tous les virus,journals openedition
pulvériser de l'alcool ou de chlore peut tuer Le coronavirus,ARS Pays de la Loire
le gel désinfectant pour les mains favorise le cancer ,ARS Pays de la Loire
la cocaïne protège contre le Covid 19 ,ARS Pays de la Loire
prendre un bain chaud protège contre le Covid 19,ARS Pays de la Loire
les bains de bouche à la Bétadine protègent du Covid 19,ARS Pays de la Loire
la chaleur printanière tue le virus,ARS Pays de la Loire
les sèche-mains sont efficaces pour tuer le Covid 19,ARS Pays de la Loire
se rincer régulièrement le nez avec une solution saline préviendrait l'infection,ARS Pays de la Loire
manger de l'ail préserve de l'infection,ARS Pays de la Loire
les antibiotiques sont efficaces pour prévenir et traiter l'infection,ARS Pays de la Loire
les fumeurs sont les plus touchés par l'épidémie,ARS Pays de la Loire
la hausse des températures a un impact sur le Virus,ARS Pays de la Loire
Le Covid-19 a été volé dans un laboratoire canadien par des espions chinois,usbeketrica.com
Le Covid-19 contient des insertions de VIH qui suggèrent que le virus a été créé artificiellement,usbeketrica.com
Un groupe financé par Bill Gates a breveté le virus causant le COVID-19,usbeketrica.com
Le virus causant le Covid-19 est une arme biologique créée par l’Homme,usbeketrica.com
L’argent colloïdal peut guérir le Covid-19,usbeketrica.com
La Solution Minérale Miracle peut guérir le Covid-19,usbeketrica.com
L’ail peut guérir le Covid-19 ,usbeketrica.com
Le froid tue le virus,quechoisir.org
Au rythme où vont les mutations le vaccin sera inefficace,infectiologie.com
la COVID-19 est une maladie non immunisante,infectiologie.com
Les vaccins n’ont jamais permis de contrôler les épidémies,infectiologie.com
J’ai jamais vu un vaccin avec autant d’effets secondaires,infectiologie.com
Le vaccin Pfizer a causé la mort de 6 personnes ,infectiologie.com
Les vaccins ARN provoquent dés réactions d’auto-immunité,infectiologie.com
Ces vaccins vont servir à vous traquer via la 5G,infectiologie.com
Le coronavirus est un virus sorti d’un laboratoire chinois contenant de “l’ADN de VIH”,challenge.ma
Des chercheurs marocains ont découvert des traces du coronavirus dans l’eau du robinet estimant être un vecteur de transfert du virus au Royaume,challenge.ma
L’efficacité du vaccin AstraZeneca/Oxford ne serait que de 8% chez les adultes de plus de 65 ans,challenge.ma
Une micropuce implantée dans le corps des vaccinés contre la Covid-19 permet de les espionner,challenge.ma
Les personnes ayant été vaccinées contre la grippe saisonnière ne peuvent pas bénéficier de la vaccination anti-covid-19,challenge.ma
Augmentation du nombre de militaires atteint par le Covid-19 et développement de foyers de contamination au sein d’Unités des Forces Armées Royales,challenge.ma
Le ministère de l’Agriculture, de la Pêche Maritime, du Développement Rural et des Eaux et Forêts a octroyé une aide aux chevaux dans le contexte de la crise sanitaire,challenge.ma
S’exposer au soleil ou à la chaleur permet de soigner la maladie,mapexpress
Porter un masque chirurgical est un bon moyen de se protéger des risques de contamination,blog.hopitalvs
Le nouveau coronavirus n’affecte que les personnes âgées,blog.hopitalvs
Recevoir une lettre d’un pays contaminé est potentiellement dangereux,blog.hopitalvs
Les vaccins contre la pneumonie protègent contre le coronavirus,blog.hopitalvs
Les antibiotiques sont efficaces pour prévenir et traiter l’infection par le nouveau coronavirus,blog.hopitalvs
Ouverture des frontières terrestres au niveau de Sebta et Melilla pour permettre aux ressortissants marocains de regagner le pays,mapnews.ma
Vente de flacons de désinfectant aux infirmières et sages-femmes à l'hôpital de maternité Souissi, relevant du centre hospitalier universitaire Ibn Sina à Rabat,mapnews.ma
Les prisons constituent un problème majeur dans la gestion de la pandémie du nouveau coronavirus du Covid-19 au Maroc,fr.le360.ma
Les mesures de protection dans les prisons marocaines n'étaient pas suffisantes,fr.le360.ma
L'Université Johns Hopkins a publié une liste de mesures préventives contre le Covid-19,fr.le360.ma
Cinq personnes ont été guéries au Maroc du nouveau Coronavirus (Covid-19) avec de la chloroquine,leconomiste.com
L'Organisation mondiale de la santé (OMS) envisage d'annuler le pèlerinage cette année,leconomiste.com
Les gants vous protègent du virus,ici.radio-canada.ca
Les moins de 30 ans ne peuvent pas être atteints de la COVID-19,ici.radio-canada.ca
La pandémie de COVID-19 a été causée par l'émergence de la technologie 5G,ici.radio-canada.ca
la première vaccinée contre le Covid-19 est décédée d'une crise cardiaque,francetvinfo.fr
Un bilan du ministère de la santé diffusé sur les réseaux sociaux fait état de 99 cas,maptanger.ma
Les défunts infectés par le Coronavirus ne peuvent pas bénéficier des soins mortuaires,maptanger.ma
Le nouveau Coronavirus (Covid-19) a été créé puis breveté par l’institut Pasteur,maptanger.ma
Les masques faits maison sont “efficaces” pour protéger du nouveau Coronavirus (Covid-19),maptanger.ma
le Covid-19 est transmis par les animaux,Nord-info
le Covid-19 est transmis par les vaccins,Nord-info
Les solutions salines dans le nez peuvent prévenir l’infection,sudouest.fr
On peut être contaminé par un colis venant de Chine,kineactu.com
Les Chinois mangent des chauves-souris et c’est cela qui a provoqué l’épidémie,kineactu.com
Une clef USB anti-5G commercialisée sur les plateformes e-commerce protégerait du coronavirus,mapoujda.ma
La Covid-19 n’est pas un virus mais une bactérie amplifiée par un rayonnement électromagnétique 5G qui produit une inflammation et une hypoxie,h24info.ma
LE COVID-19 EST À L’ORIGINE CRÉÉ PAR L’HOMME ,ordredemaltefrance.org
UN LABORATOIRE AURAIT LAISSÉ ÉCHAPPER LE VIRUS PAR ERREUR ,ordredemaltefrance.org
Une lampe de désinfection à ultraviolets (UV) peut tuer le nouveau coronavirus,lindependant.fr
S'enduire le corps d'huile de sésame empêche le virus de pénétrer dans l'organisme,lindependant.fr
Le nouveau coronavirus n'affecte que les personnes âgées,lindependant.fr
L’application « Wiqaytna » de notification d’exposition au nouveau coronavirus (Covid-19) collecte les données de contact,challenge.ma
Le coronavirus peut être transmis via la monnaie,challenge.ma
Le Maroc est le pays le plus touché par la Covid en Afrique,challenge.ma
Le vaccin pourrait entraîner un syndrome de Guillain-Barré ou une sclérose en plaques,sciencesetavenir.fr
La bactérie Prevotella joue-t-elle un rôle dans l’infection au covid-19 ,polycliniquebordeauxnordaquitaine.fr
La Covid19 se transmettrait par l’eau de robinet ,yaga-burundi.com
Le soleil protégerait contre le coronavirus,yaga-burundi.com
On pourrait attraper le virus dans les ballots de fripes venues de Chine ou d’Europe,yaga-burundi.com
Charles Lieber professeur à l'université d'Harvard a été arrêté pour avoir "fabriqué et vendu" le coronavirus à la Chine , m.le360.ma
les mouffettes et des papillons transmettent le coronavirus , lesexplos.com
En mangeant de l’ail et du citron je n’attraperai pas le coronavirus , lesexplos.com
Avec un masque, aucun risque d’attraper le coronavirus , lesexplos.com
Les autorités espagnoles ont réquisitionné des médicaments exportés vers le Maroc , mapnews.ma
Le nouveau coronavirus (Covid-19) se transmet de la mère au fœtus , mapnews.ma
La marque allemande Adidas affectée par la crise sanitaire liée au Covid-19, a fait faillite , plurielle.ma
L’aspirine et du jus de citron bouilli pourraient guérir la Covid-19 , plurielle.ma
La pandémie de Covid-19 est prétexte à un “plan international d’asservissement et de réduction des populations” mené par des lobbys , maroc-diplomatique.net
Les Chinois se préparent déjà à lancer un nouveau virus qui est fabriqué traditionnellement, et l’essai de ce virus a tué 70 chiens dans une heure , maroc-diplomatique.net
Les hommes sont-ils plus susceptibles de mourir du coronavirus que les femmes , maroc-diplomatique.net
Wiqaytna l’application de suivi des contacts des personnes positives au coronavirus accédera à l’ensemble des contacts et des données des utilisateurs , mapcasablanca.ma
Des gargarismes d’eau tiède mélangée à du sel ou du vinaigre soignent le Coronavirus , mapecology.ma
La Covid-19 n’est pas une pneumonie. Par conséquent les respirateurs et les unités de réanimation utilisés pour traiter les patients contaminés sont inutiles , maprabat.ma
La prise d’anti-inflammatoires ou l’automédication peuvent mener à une guérison du Coronavirus , mapanticorona.ma
Les personnes cardiaques qui prennent des médicaments doivent interrompre ces traitement puisqu’ils rendent ces patients plus vulnérables au Covid-19 , maperrachidia.ma
les chats et les chiens peuvent transmettre le virus responsable de la COVID-19 , unicef.org
En mangeant de miel je n’attraperai pas le coronavirus , lesexplos.com
En mangeant de sel je n’attraperai pas le coronavirus , lesexplos.com
Boire un thé ou un café vous protège contre le virus , francebleu.fr
les masques "faits maison" et les foulards  remplacent  les masques homologués, francebleu.fr
se raser la barbe vous protège contre le virus , c3a-france.com
boire de l’eau toutes les quinze minutes vous protège contre le virus , c3a-france.com
le Covid-19 n’est pas une combinaison du SRAS et du sida , c3a-france.com
le coronavirus viendrait des serpents ou de la soupe de chauve-souris , c3a-france.com
le coronavirus est une arme biologique militaire , c3a-france.com
L'ail ou les infusions vous guériront ou vous protégeront du coronavirus , cnetfrance.fr
les jeunes sont de plus en plus touchés par le coronavirus , franceculture.fr
Des serpents pourraient avoir transmis le virus chinois aux humains , hal.archives
Une morsure de chauve-souris dans un laboratoire dont aurait été victime un biologiste chinois serait à l’origine de la transmission du virus de l’animal vers l’homme ,  hal.archives
Le coronavirus serait le fruit du développement de la 5G  , hal.archives
Le coronavirus aurait été mis au point par les juifs ,  hal.archives
Le SARS-CoV2 aurait été fabriqué dans le laboratoire P4 de Wuhan , hal.archives
Les médias rapportent que des serpents des chauves-souris ou encore des pangolins sont la cause ou le porteur du virus , hal.archives
L’urine des enfants peut protéger contre le nouveau coronavirus (SARS-CoV-2) , hal.archives
Les huiles essentielles protègent du coronavirus , hal.archives
Le vaccin contre la grippe protège d’une contamination au Covid-19 ,  hal.archives
Les huiles essentielles guérissent le coronavirus , hal.archives
Le meilleur vaccin pour lutter contre le coronavirus serait la viande de bœuf , hal.archives
Covid-19  est Une arme biologique chinoise , fr.wikipedia.org
la propagation de Covid-19  à Wuhan et sur le Diamond Princess étaient directement causés par des champs électro-magnétiques et par l’introduction de la 5G et des technologies sans fil , fr.wikipedia.org
Cowan a aussi allégué que les virus sont des déchets de cellules empoisonnées par les champs magnétiques et que les pandémies virales coïncident historiquement avec le développement de la technologie de la transmission radio , fr.wikipedia.org
le tigre et le lion peuvent également être porteurs , fr.wikipedia.org
la maladie peut se transmettre de l'homme au chat et du chat au chat , fr.wikipedia.org
consommer du gingembre bouilli avec un estomac vide protège contre le virus , fr.wikipedia.org
boire du citron avec de l'eau pourrait être prévenir du coronavirus et du cancer , fr.wikipedia.org
boire de l'eau toutes 15 minutes protège contre le virus , fr.wikipedia.org
boire du thé au fenouil ou du le jus de cerise ou manger de l'ail de l'ase fétide la chirette verte  du foie de bœuf protège contre le virus , fr.wikipedia.org
boire de l'eau de Javel de l'argent colloïdal ou du méthanol protège contre le virus , fr.wikipedia.org
une ancienne boisson du Sri Lanka pourrait prévenir du coronavirus , fr.wikipedia.org
se laver à l'huile de sésame à l'alcool ou au chlore se désinfecter le nez ou la gorge avec une solution saline , fr.wikipedia.org
les végétariens seraient protégés du Covid , lavoixdunord.fr
Ce nouveau coronavirus créé puis breveté par les Américains , lesoleil.com
Une solution saline pour se prémunir du coronavirus ,  lesoleil.com
Les chinois mangent n’importe quoi c’est à cause de leur manque d'hygiène alimentaire qu’on a le coronavirus , lesoleil.com
Le liquide chaud neutralise le virus , lecho.be
seules les personnes présentant des symptômes sont contagieuses , lecho.be
la pandémie a fait naître on a pu lire que les colis en provenance de Chine pouvaient infecter les destinataires ou que les animaux domestiques étaient des vecteurs de la maladie , theconversation.com
Un décret annonçant une intervention militaire liée au coronavirus , parismatch.com
Le coronavirus a été transmis par le pangolin ou la chauve-souris , caf.fr
Le Covid-19 n’est pas un virus mais une bactérie amplifiée par un rayonnement électromagnétique 5G qui produit une inflammation et une hypoxie , fr.le360.ma
LES TISSUS NATURELS SONT LES PLUS SUSCEPTIBLES DE TRANSPORTER LE VIRUS  , elle.fr
L’aspirine et du jus de citron bouilli pourraient guérir la Covid-19 , mapexpress.ma
Boire de l'eau de javel ou s’exposer aux rayons UV peut traiter la COVID-19 , mapexpress.ma
On ne peut pas transmettre la COVID-19 si on n’a aucun symptôme , mapexpress.ma
Le café peut réduire le danger du nouveau coronavirus , mapexpress.ma
Le gel hydroalcoolique est cancérigène , mapexpress.ma
La Covid-19 n’est pas un virus mais une bactérie amplifiée par un rayonnement électromagnétique 5G qui produit une inflammation et une hypoxie ,mapexpress.ma